CVE ID,Title,Description,Technology Area,Vulnerability Type,Access Vector,CVSS Rating,CVSS Score,CVSS String,Affected Chipsets,Affected Software Versions,Bulletin Date,Source URL
CVE-2023-42719,Out-of-bounds Read in video service,"In video service, there is a possible out of bounds read due to a incorrect bounds check. This could lead to local denial of service with no additional execution privileges needed.",Android,cwe-125 Out-of-bounds Read,Network,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,T606/T612/T616,Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42720,Out-of-bounds Read in video service,"In video service, there is a possible out of bounds read due to a missing bounds check. This could lead to local denial of service with no additional execution privileges needed.",Android,cwe-125 Out-of-bounds Read,Network,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,T760/T770/T820/S8000,Android11,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42721,Improper Restriction of Operations within the Bounds of a Memory Buffer in flv extractor,"In flv extractor, there is a possible missing verification incorrect input. This could lead to local denial of service with no additional execution privileges needed.",Android,cwe-119ImproperRestrictionofOperationswithintheBoundsofaMemory B,Network,Medium,4.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L,SC9863A,Android11,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42722,Improper Restriction of Operations within the Bounds of a Memory Buffer in camera service,"In camera service, there is a possible use after free due to a logic error. This could lead to local escalation of privilege with System execution privileges needed.",Android,cwe-119ImproperRestrictionofOperationswithintheBoundsofaMemory B,Local,Medium,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42723,Out-of-bounds Read in camera service,"In camera service, there is a possible out of bounds read due to a missing bounds check. This could lead to local denial of service with no additional execution privileges needed.",Android,cwe-125 Out-of-bounds Read,Local,Medium,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42724,Out-of-bounds Read in gpu driver,"In gpu driver, there is a possible out of bounds read due to a missing bounds check. This could lead to local denial of service with System execution privileges needed.",Kernel,cwe-125 Out-of-bounds Read,Local,Medium,5.6,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:H,SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42725,Out-of-bounds Read in gpu driver,"In gpu driver, there is a possible out of bounds read due to a missing bounds check. This could lead to local denial of service with System execution privileges needed.",Kernel,cwe-125 Out-of-bounds Read,Local,Medium,5.6,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:H,SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42726,Out-of-bounds Read in TeleService,"In TeleService, there is a possible out of bounds read due to a missing bounds check. This could lead to local denial of service with System execution privileges needed.",Android,cwe-125 Out-of-bounds Read,Local,Medium,5.6,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:H,SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42727,Out-of-bounds Write in gpu driver,"In gpu driver, there is a possible out of bounds write due to a incorrect bounds check. This could lead to local denial of service with System execution privileges needed.",Kernel,cwe-787 Out-of-bounds Write,Local,Medium,5.6,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:H,SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android13/Android12/Android11,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42728,Out-of-bounds Read in phasecheckserver,"In phasecheckserver, there is a possible out of bounds read due to a missing bounds check. This could lead to local denial of service with no additional execution privileges needed.",Android,cwe-125 Out-of-bounds Read,Local,Medium,5.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
